repo,stars,forks,lastpush
"lvgl/lvgl
",8573,1713,2022-02-13T19:09:30Z
"bblanchon/ArduinoJson
",5542,999,2022-02-06T17:44:58Z
"FastLED/FastLED
",5096,1380,2022-01-31T16:40:59Z
"tzapu/WiFiManager
",5002,1555,2022-02-13T21:36:47Z
"z3t0/Arduino-IRremote
",3530,1604,2022-02-12T08:32:21Z
"blynkkk/blynk-library
",3343,1146,2022-02-07T22:39:53Z
"gioblu/PJON
",2632,233,2022-02-10T21:49:41Z
"adafruit/Adafruit_NeoPixel
",2496,1109,2022-01-31T20:29:22Z
"miguelbalboa/rfid
",2229,1261,2022-01-07T15:37:51Z
"markszabo/IRremoteESP8266
",2016,625,2022-02-13T11:24:23Z
"TMRh20/RF24
",1841,900,2022-02-14T04:50:25Z
"NicoHood/HID
",1822,339,2022-01-11T18:50:33Z
"adafruit/Adafruit-GFX-Library
",1776,1344,2022-01-24T17:05:51Z
"Bodmer/TFT_eSPI
",1697,574,2022-02-12T19:14:31Z
"blinker-iot/blinker-library
",1680,177,2022-02-12T03:04:06Z
"adafruit/DHT-sensor-library
",1642,1277,2021-10-25T19:56:37Z
"ThingPulse/esp8266-oled-ssd1306
",1626,558,2022-01-24T20:20:32Z
"sui77/rc-switch
",1556,577,2021-12-20T23:17:17Z
"Links2004/arduinoWebSockets
",1467,461,2022-01-07T05:15:25Z
"br3ttb/Arduino-PID-Library
",1463,904,2021-11-22T18:58:42Z
"felis/USB_Host_Shield_2.0
",1401,687,2022-02-06T22:46:19Z
"vshymanskyy/TinyGSM
",1395,521,2022-01-29T15:43:05Z
"adafruit/Adafruit_SSD1306
",1346,834,2022-01-12T21:18:39Z
"firmata/arduino
",1303,499,2022-01-15T17:07:30Z
"earlephilhower/ESP8266Audio
",1291,313,2022-02-09T16:33:23Z
"cesanta/elk
",1286,49,2022-02-07T16:20:17Z
"kitesurfer1404/WS2812FX
",1263,294,2021-12-26T01:26:01Z
"TKJElectronics/KalmanFilter
",1220,651,2021-06-05T18:06:09Z
"sqfmi/Watchy
",1210,196,2022-01-23T23:33:14Z
"mysensors/MySensors
",1209,880,2022-02-11T18:16:55Z
"FortySevenEffects/arduino_midi_library
",1177,207,2022-01-11T07:01:44Z
"rocketscream/Low-Power
",1176,347,2021-10-09T15:10:51Z
"marcoschwartz/aREST
",1140,268,2021-06-08T06:23:44Z
"sandeepmistry/arduino-LoRa
",1116,480,2022-02-05T11:46:56Z
"PaulStoffregen/Time
",1037,595,2021-10-15T07:11:31Z
"Makuna/NeoPixelBus
",971,222,2022-02-05T17:50:41Z
"kmackay/micro-ecc
",961,365,2022-01-22T00:14:16Z
"njh/EtherCard
",953,432,2021-11-08T11:05:28Z
"m5stack/M5Stack
",921,342,2022-02-13T03:49:05Z
"squix78/esp8266-weather-station
",909,332,2021-11-18T20:35:03Z
"Mixiaoxiao/Arduino-HomeKit-ESP8266
",863,169,2021-09-15T01:53:06Z
"askuric/Arduino-FOC
",843,229,2022-02-12T22:54:30Z
"fdivitto/FabGL
",833,127,2021-11-19T11:01:26Z
"milesburton/Arduino-Temperature-Control-Library
",831,454,2021-05-28T07:09:46Z
"ivanseidel/ArduinoThread
",822,178,2020-09-28T12:12:30Z
"adafruit/Adafruit_Sensor
",808,606,2020-06-29T18:37:58Z
"arkhipenko/TaskScheduler
",770,170,2021-12-17T15:17:18Z
"mikalhart/TinyGPSPlus
",757,376,2022-02-12T17:06:45Z
"ImpulseAdventure/GUIslice
",715,157,2022-02-07T20:53:43Z
"ZinggJM/GxEPD
",701,170,2021-08-13T12:54:12Z
"LowPowerLab/RFM69
",693,368,2022-02-09T14:10:35Z
"matthijskooijman/arduino-lmic
",678,608,2020-12-21T12:16:30Z
"adafruit/RTClib
",677,654,2022-02-10T02:25:29Z
"bogde/HX711
",662,456,2022-02-08T23:57:07Z
"ayushsharma82/ESP-DASH
",661,161,2021-09-14T10:55:31Z
"nkolban/ESP32_BLE_Arduino
",655,281,2021-12-20T01:05:02Z
"neu-rah/ArduinoMenu
",648,154,2022-01-01T14:57:06Z
"Seeed-Studio/CAN_BUS_Shield
",613,394,2021-12-06T00:27:12Z
"feilipu/Arduino_FreeRTOS_Library
",610,174,2022-01-25T11:32:06Z
"mathertel/OneButton
",587,179,2022-01-27T07:33:17Z
"2dom/PxMatrix
",583,130,2022-01-22T13:55:52Z
"SlashDevin/NeoGPS
",574,177,2021-09-15T10:13:07Z
"iondbproject/iondb
",563,47,2019-12-28T14:00:09Z
"CNMAT/OSC
",559,119,2022-02-06T14:30:34Z
"jgromes/RadioLib
",558,164,2022-02-07T21:40:36Z
"plerup/espsoftwareserial
",529,205,2021-11-27T18:53:13Z
"TMRh20/TMRpcm
",496,153,2021-11-25T23:42:16Z
"adafruit/Adafruit_MQTT_Library
",484,269,2022-01-26T21:44:12Z
"openenergymonitor/EmonLib
",482,363,2021-09-15T22:31:27Z
"mcci-catena/arduino-lmic
",480,163,2022-01-27T00:46:43Z
"PaulStoffregen/OneWire
",479,315,2022-02-08T19:15:09Z
"ZinggJM/GxEPD2
",472,133,2022-01-31T10:34:54Z
"coryjfowler/MCP_CAN_lib
",472,235,2021-12-16T01:50:28Z
"bportaluri/WiFiEsp
",471,202,2021-09-11T08:00:48Z
"thomasfredericks/Bounce2
",459,158,2021-08-03T15:01:11Z
"ricmoo/QRCode
",451,159,2021-12-19T17:44:46Z
"pixelmatix/SmartMatrix
",445,128,2021-12-21T18:45:54Z
"4-20ma/ModbusMaster
",441,277,2021-08-28T14:13:08Z
"sandeepmistry/arduino-BLEPeripheral
",429,177,2020-12-29T19:50:54Z
"s00500/ESPUI
",427,92,2022-02-12T17:43:06Z
"laurb9/StepperDriver
",424,189,2021-04-02T03:09:07Z
"adafruit/Adafruit_GPS
",418,309,2022-02-10T21:17:30Z
"lexus2k/ssd1306
",416,93,2022-01-29T11:17:45Z
"thotro/arduino-dw1000
",416,258,2020-05-11T15:54:16Z
"prampec/IotWebConf
",413,113,2021-12-24T14:00:35Z
"Aircoookie/Espalexa
",408,91,2021-12-28T09:49:09Z
"marcoschwartz/LiquidCrystal_I2C
",403,246,2021-07-26T07:16:47Z
"lvgl/lv_examples
",396,308,2021-12-22T18:05:31Z
